Source,Target,Type,id,label,timeset,weight
751,1061,Directed,2159,,,1.0
405,55,Directed,2160,,,1.0
405,406,Directed,2161,,,1.0
406,55,Directed,2162,,,1.0
406,405,Directed,2163,,,1.0
1099,1100,Directed,2164,,,1.0
1099,1101,Directed,2165,,,1.0
1099,1102,Directed,2166,,,1.0
1099,203,Directed,2167,,,1.0
882,883,Directed,2168,,,1.0
882,790,Directed,2169,,,1.0
115,112,Directed,2170,,,1.0
115,113,Directed,2171,,,1.0
115,114,Directed,2172,,,1.0
115,116,Directed,2173,,,1.0
115,117,Directed,2174,,,1.0
115,118,Directed,2175,,,1.0
87,30,Directed,2176,,,1.0
87,365,Directed,2177,,,1.0
87,99,Directed,2178,,,1.0
87,80,Directed,2179,,,1.0
87,366,Directed,2180,,,1.0
87,540,Directed,2181,,,1.0
87,541,Directed,2182,,,1.0
87,667,Directed,2183,,,1.0
87,668,Directed,2184,,,1.0
87,669,Directed,2185,,,1.0
87,687,Directed,2186,,,1.0
87,70,Directed,2187,,,1.0
87,887,Directed,2188,,,1.0
87,384,Directed,2189,,,1.0
87,919,Directed,2190,,,1.0
87,736,Directed,2191,,,1.0
87,996,Directed,2192,,,1.0
87,1027,Directed,2193,,,1.0
87,224,Directed,2194,,,1.0
87,1040,Directed,2195,,,1.0
87,236,Directed,2196,,,1.0
87,133,Directed,2197,,,1.0
87,1232,Directed,2198,,,1.0
87,65,Directed,2199,,,1.0
409,407,Directed,2200,,,1.0
409,408,Directed,2201,,,1.0
409,306,Directed,2202,,,1.0
403,402,Directed,2203,,,1.0
403,302,Directed,2204,,,1.0
403,401,Directed,2205,,,1.0
403,404,Directed,2206,,,1.0
284,283,Directed,2207,,,1.0
284,285,Directed,2208,,,1.0
284,286,Directed,2209,,,1.0
284,222,Directed,2210,,,1.0
363,364,Directed,2211,,,1.0
386,385,Directed,2212,,,1.0
386,54,Directed,2213,,,1.0
535,47,Directed,2214,,,1.0
535,536,Directed,2215,,,1.0
467,466,Directed,2216,,,1.0
467,120,Directed,2217,,,1.0
467,239,Directed,2218,,,1.0
467,486,Directed,2219,,,1.0
1082,1080,Directed,2220,,,1.0
1082,120,Directed,2221,,,1.0
1082,1081,Directed,2222,,,1.0
301,302,Directed,2223,,,1.0
301,303,Directed,2224,,,1.0
301,304,Directed,2225,,,1.0
414,796,Directed,2226,,,1.0
414,949,Directed,2227,,,1.0
414,1136,Directed,2228,,,1.0
414,55,Directed,2229,,,1.0
454,453,Directed,2230,,,1.0
454,287,Directed,2231,,,1.0
454,455,Directed,2232,,,1.0
454,456,Directed,2233,,,1.0
454,457,Directed,2234,,,1.0
454,872,Directed,2235,,,1.0
454,325,Directed,2236,,,1.0
454,873,Directed,2237,,,1.0
454,874,Directed,2238,,,1.0
454,875,Directed,2239,,,1.0
454,876,Directed,2240,,,1.0
454,877,Directed,2241,,,1.0
454,878,Directed,2242,,,1.0
454,341,Directed,2243,,,1.0
285,283,Directed,2244,,,1.0
285,284,Directed,2245,,,1.0
285,286,Directed,2246,,,1.0
285,222,Directed,2247,,,1.0
285,287,Directed,2248,,,1.0
285,294,Directed,2249,,,1.0
285,909,Directed,2250,,,1.0
429,48,Directed,2251,,,1.0
429,86,Directed,2252,,,1.0
429,164,Directed,2253,,,1.0
429,109,Directed,2254,,,1.0
429,1020,Directed,2255,,,1.0
429,41,Directed,2256,,,1.0
426,54,Directed,2257,,,1.0
426,736,Directed,2258,,,1.0
902,446,Directed,2259,,,1.0
248,137,Directed,2260,,,1.0
248,117,Directed,2261,,,1.0
248,249,Directed,2262,,,1.0
248,197,Directed,2263,,,1.0
248,485,Directed,2264,,,1.0
248,114,Directed,2265,,,1.0
248,941,Directed,2266,,,1.0
248,191,Directed,2267,,,1.0
248,942,Directed,2268,,,1.0
248,790,Directed,2269,,,1.0
248,943,Directed,2270,,,1.0
248,139,Directed,2271,,,1.0
248,634,Directed,2272,,,1.0
248,944,Directed,2273,,,1.0
1181,45,Directed,2274,,,1.0
888,55,Directed,2275,,,1.0
888,889,Directed,2276,,,1.0
302,301,Directed,2277,,,1.0
302,303,Directed,2278,,,1.0
302,304,Directed,2279,,,1.0
302,402,Directed,2280,,,1.0
302,403,Directed,2281,,,1.0
302,401,Directed,2282,,,1.0
302,404,Directed,2283,,,1.0
302,716,Directed,2284,,,1.0
302,223,Directed,2285,,,1.0
703,702,Directed,2286,,,1.0
703,146,Directed,2287,,,1.0
703,401,Directed,2288,,,1.0
703,704,Directed,2289,,,1.0
703,709,Directed,2290,,,1.0
220,219,Directed,2291,,,1.0
220,270,Directed,2292,,,1.0
220,527,Directed,2293,,,1.0
220,689,Directed,2294,,,1.0
220,384,Directed,2295,,,1.0
306,307,Directed,2296,,,1.0
306,313,Directed,2297,,,1.0
306,407,Directed,2298,,,1.0
306,408,Directed,2299,,,1.0
306,409,Directed,2300,,,1.0
306,290,Directed,2301,,,1.0
306,74,Directed,2302,,,1.0
211,210,Directed,2303,,,1.0
211,212,Directed,2304,,,1.0
211,213,Directed,2305,,,1.0
817,55,Directed,2306,,,1.0
817,818,Directed,2307,,,1.0
